vi	V(n003)	I(Rc)	I(Rb)
2.729999999999986e+00	6.872682e-01	6.318048e-03	2.042732e-05
2.739999999999986e+00	6.874076e-01	6.346834e-03	2.052592e-05
2.749999999999985e+00	6.875464e-01	6.375607e-03	2.062454e-05
2.759999999999985e+00	6.876846e-01	6.404365e-03	2.072315e-05
2.769999999999985e+00	6.878222e-01	6.433111e-03	2.082178e-05
2.779999999999985e+00	6.879592e-01	6.461843e-03	2.092041e-05
2.789999999999984e+00	6.880956e-01	6.490561e-03	2.101904e-05
2.799999999999984e+00	6.882315e-01	6.519266e-03	2.111768e-05
2.809999999999984e+00	6.883668e-01	6.547958e-03	2.121633e-05
2.819999999999984e+00	6.885015e-01	6.576635e-03	2.131499e-05
2.829999999999984e+00	6.886357e-01	6.605300e-03	2.141364e-05
2.839999999999983e+00	6.887693e-01	6.633951e-03	2.151231e-05
2.849999999999983e+00	6.889024e-01	6.662588e-03	2.161098e-05
2.859999999999983e+00	6.890349e-01	6.691212e-03	2.170965e-05
2.869999999999983e+00	6.891669e-01	6.719823e-03	2.180833e-05
2.879999999999983e+00	6.892983e-01	6.748420e-03	2.190702e-05
2.889999999999982e+00	6.894293e-01	6.777003e-03	2.200571e-05
2.899999999999982e+00	6.895596e-01	6.805573e-03	2.210440e-05
2.909999999999982e+00	6.896895e-01	6.834129e-03	2.220310e-05
2.919999999999982e+00	6.898189e-01	6.862672e-03	2.230181e-05
2.929999999999982e+00	6.899477e-01	6.891202e-03	2.240052e-05
2.939999999999981e+00	6.900761e-01	6.919717e-03	2.249924e-05
2.949999999999981e+00	6.902038e-01	6.948220e-03	2.259796e-05
2.959999999999981e+00	6.903312e-01	6.976709e-03	2.269669e-05
2.969999999999981e+00	6.904581e-01	7.005184e-03	2.279542e-05
2.979999999999980e+00	6.905844e-01	7.033647e-03	2.289416e-05
2.989999999999980e+00	6.907102e-01	7.062095e-03	2.299290e-05
2.999999999999980e+00	6.908356e-01	7.090530e-03	2.309164e-05
3.009999999999980e+00	6.909605e-01	7.118952e-03	2.319039e-05
3.019999999999980e+00	6.910849e-01	7.147360e-03	2.328915e-05
3.029999999999979e+00	6.912089e-01	7.175754e-03	2.338791e-05
3.039999999999979e+00	6.913323e-01	7.204136e-03	2.348668e-05
3.049999999999979e+00	6.914554e-01	7.232503e-03	2.358545e-05
3.059999999999979e+00	6.915780e-01	7.260858e-03	2.368422e-05
3.069999999999979e+00	6.917000e-01	7.289199e-03	2.378300e-05
3.079999999999978e+00	6.918217e-01	7.317526e-03	2.388178e-05
3.089999999999978e+00	6.919429e-01	7.345840e-03	2.398057e-05
3.099999999999978e+00	6.920637e-01	7.374140e-03	2.407936e-05
3.109999999999978e+00	6.921840e-01	7.402427e-03	2.417816e-05
