VDD	I(RB)
Step Information: V1=0  (Step: 1/6)
6.370000000000000e+00	-6.435727e-12
6.380000000000000e+00	-6.445726e-12
6.390000000000001e+00	-5.036477e-12
6.400000000000000e+00	-5.046477e-12
6.410000000000000e+00	-6.475727e-12
6.420000000000000e+00	-6.485726e-12
6.430000000000000e+00	-5.076477e-12
6.440000000000000e+00	-5.086477e-12
6.450000000000000e+00	-6.515726e-12
6.460000000000000e+00	-6.525727e-12
6.470000000000000e+00	-5.116477e-12
6.480000000000000e+00	-5.126477e-12
6.490000000000000e+00	-6.555726e-12
6.500000000000000e+00	-6.565726e-12
6.510000000000000e+00	-5.156477e-12
6.520000000000000e+00	-5.166477e-12
6.530000000000000e+00	-6.595727e-12
6.540000000000000e+00	-6.605726e-12
6.550000000000000e+00	-5.196477e-12
6.560000000000000e+00	-5.206477e-12
6.570000000000000e+00	-6.635726e-12
6.580000000000000e+00	-6.645727e-12
6.590000000000000e+00	-5.236477e-12
6.600000000000001e+00	-5.246477e-12
6.610000000000000e+00	-6.675726e-12
6.620000000000000e+00	-6.685726e-12
6.630000000000000e+00	-5.276477e-12
6.640000000000001e+00	-5.286477e-12
6.650000000000000e+00	-6.715726e-12
6.660000000000000e+00	-6.725726e-12
6.670000000000000e+00	-5.316477e-12
6.680000000000000e+00	-5.326477e-12
6.690000000000000e+00	-6.755726e-12
6.700000000000000e+00	-6.765726e-12
6.710000000000000e+00	-5.356477e-12
6.720000000000000e+00	-5.366477e-12
6.730000000000000e+00	-6.795726e-12
6.740000000000000e+00	-6.805727e-12
6.750000000000000e+00	-5.396477e-12
6.760000000000000e+00	-5.406477e-12
6.770000000000000e+00	-6.835726e-12
6.780000000000000e+00	-6.845726e-12
6.790000000000000e+00	-5.436477e-12
6.800000000000000e+00	-5.446477e-12
6.810000000000000e+00	-6.875727e-12
6.820000000000000e+00	-6.885726e-12
6.830000000000000e+00	-5.476477e-12
6.840000000000000e+00	-5.486477e-12
6.850000000000001e+00	-6.915726e-12
6.860000000000000e+00	-6.925726e-12
6.870000000000000e+00	-5.516477e-12
6.880000000000000e+00	-5.526477e-12
6.890000000000001e+00	-6.955726e-12
